시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
한국어린이집,대구광역시 달서구 중흥로8길 112 (송현동),2,2,12,6,10.0,0,35.82683456,128.5521334,32.11,69.30000000000001,0,0.33705782310949745,29.08060287358919
스콜라유치원(구프뢰벨유치원),대구광역시 남구 앞산순환로 467 (대명동),2,3,17,2,9.0,0,35.83248149,128.5760583,35.31,2.8,0,0.33699722866068066,29.068634725482294
비봉초등학교,대구광역시 서구 달서로45길 30 (비산동),16,4,12,14,10.0,0,35.88276492,128.568631,35.36,179.2,0,0.33680730544635407,29.03112255724934
 아이캔유치원,대구광역시 달서구 비슬로 2728-16 (대곡동),2,2,11,3,10.0,0,35.80876662,128.5148179,30.92,69.30000000000001,2,0.3363144014806759,28.933767968192026
두산초등학교,대구광역시 수성구 동대구로6길 31 (지산동),6,8,45,13,9.0,0,35.83259685,128.6260882,47.09,206.6,0,0.3356754530552055,28.807567804018262
대원유치원,대구광역시 북구 동북로26길 26 (산격동),4,3,17,8,9.0,0,35.89982276,128.6051253,35.18,69.30000000000001,0,0.33550294829193755,28.773495993873105
소망어린이집,대구광역시 달서구 앞산순환로61길 68 (송현동),3,3,11,5,8.0,0,35.83077848,128.5588127,32.11,69.30000000000001,0,0.335302608427119,28.733926409188648
선원초등학교,대구광역시 달서구 선원로33길 105 (용산동),3,2,19,5,12.0,0,35.86108823,128.5155245,33.27,83.4,2,0.33528608051607767,28.730661943695473
행복이가득한어린이집,대구광역시 서구 달서천로53길 18 (비산동),7,2,21,7,15.0,0,35.88566184,128.56224,35.36,69.30000000000001,0,0.3348798336606913,28.650423198593174
청림초등학교,대구광역시 수성구 고산로 51 (노변동),1,3,16,0,30.0,0,35.83563518,128.7033769,41.83,10.2,5,0.3347448950532346,28.623771165759887
성모유치원,대구광역시 중구 남산로4길 78 (남산동),3,1,25,9,10.5,0,35.86070072,128.5857647,33.32,69.30000000000001,0,0.3332848059377558,28.335385626745364
동변초등학교,대구광역시 북구 동변로 60 (동변동),2,3,43,3,9.0,0,35.91913074,128.6041638,44.37,3.25,13,0.3326666480762326,28.213291854384785
예원유치원,대구광역시 북구 칠성로 105-21 (칠성동2가),2,1,7,2,9.0,0,35.87931739,128.600701,31.38,69.30000000000001,16,0.3323918925934868,28.159024270886736
달산초등학교,대구광역시 북구 옥산로17길 37 (침산동),2,4,23,8,9.0,0,35.88770026,128.5851441,37.06,93.25,2,0.3323617034637024,28.153061546849585
상동어린이집,대구광역시 수성구 수성로32길 139 (상동),4,1,10,2,6.0,0,35.835277,128.612646,32.21,2.2,12,0.3323104192336585,28.142932281336012
대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40 (남산동),2,1,20,4,7.5,0,35.864469,128.584301,33.32,69.30000000000001,13,0.3322963783371043,28.140159031759598
대구입석초등학교,대구광역시 동구 아양로 300 (입석동),1,1,21,0,30.0,0,35.89069277,128.6439976,37.55,10.5,3,0.3322155499689989,28.124194435998533
 가톨릭소화어린이집,대구광역시 달서구 월곡로51길 77 (상인동),6,4,21,3,10.0,0,35.81473892,128.5362016,36.08,69.30000000000001,4,0.33199835520527937,28.081295801701245
 영지어린이집,대구광역시 북구 산격로서9길 6-1 (산격동),3,4,23,4,9.0,0,35.8952123,128.6022434,35.18,69.30000000000001,0,0.3319943813137444,28.080510909299715
다인어린이집,대구광역시 서구 달서로7길 9 (내당동),4,0,4,2,30.0,0,35.8649326,128.5700955,30.86,78.0,4,0.33185211399255266,28.052411365462916
학산초등학교,대구광역시 달서구 월성로 76 (월성동),0,0,0,0,15.0,0,35.83110683,128.5260862,32.97,9.8,21,0.3312272788966058,27.92899875726692
가톨릭소화어린이집,대구광역시 남구 현충로39길 74 (대명동),3,3,23,7,7.0,0,35.85011603,128.5769832,35.31,69.30000000000001,4,0.3309726979884887,27.87871590012359
교동초등학교,대구광역시 북구 관음중앙로34길 4 (읍내동),4,3,22,10,9.0,0,35.9447886,128.5494726,37.86,54.5,4,0.33094646362506125,27.87353429103033
동양유치원,대구광역시 서구 평리로78길 8-12 (내당동),2,1,3,4,7.0,0,35.8654976,128.5651622,30.86,69.30000000000001,17,0.33089997289140094,27.86435179994559
